ANIMAL,SPCSVT_ID_NUMBER,CERT_ID_NUMBER,FISCAL_YEAR,ANYU,NPND,WPWD,WPND,TOTAL,ORDERME
DOGS,5,15,2015,0,0,0,0,0,0
CATS,6,15,2015,0,0,0,0,0,0
GUINEA PIGS,7,15,2015,0,0,0,0,0,0
HAMSTERS,8,15,2015,0,0,0,0,0,0
RABBITS,9,15,2015,0,0,0,0,0,0
NONHUMAN PRIMATES,10,15,2015,0,0,0,0,0,0
SHEEP,12,15,2015,0,0,0,0,0,0
PIG,13,15,2015,0,0,0,0,0,0
CATTLE (MIXED BREED),14,15,2015,0,10,0,0,10,0
ARCTIC GROUND SQUIRREL,99,15,2015,0,41,68,0,109,0
CARIBOU,99,15,2015,27,0,0,0,0,0
MOOSE,99,15,2015,5,0,0,0,0,0
MUSKOXEN,99,15,2015,14,7,0,0,7,0
REINDEER,99,15,2015,20,30,0,0,30,0
