CERT	CERT_ID_NUMBER	FISCAL_YEAR	DOG	CAT	GUINEA_PIGS	HAMSTERS	RABBITS	NHP	SHEEP	PIG	OTHERFARM	OTHERALL	CUST_ID_NUMBER	SELECT_ROW
31-R-0100	247	2015	0	54	0	0	0	0	0	0	0	0	247	247,2015
31-R-0100	247	2014	0	44	0	0	0	0	0	0	0	0	247	247,2014
31-R-0100	247	2013	0	56	0	0	0	0	0	0	0	0	247	247,2013
31-R-0100	247	2012	0	67	0	0	0	0	0	0	0	0	247	247,2012
31-R-0100	247	2011	0	58	0	0	0	0	0	0	0	0	247	247,2011
31-R-0100	247	2010	0	78	0	0	0	0	0	0	0	0	247	247,2010
31-R-0100	247	2009	0	70	0	0	0	0	0	0	0	0	247	247,2009
31-R-0100	247	2008	0	91	0	0	0	0	0	0	0	0	247	247,2008
31-R-0100	247	2007	0	91	0	0	0	0	0	0	0	0	247	247,2007
31-R-0100	247	2006	0	65	0	0	0	0	0	0	0	0	247	247,2006
31-R-0100	247	2005	0	78	0	0	0	0	0	0	0	0	247	247,2005
31-R-0100	247	2004	0	80	0	0	0	0	0	0	0	0	247	247,2004
31-R-0100	247	2003	0	75	0	0	0	0	0	0	0	0	247	247,2003
31-R-0100	247	2002	0	61	0	0	0	0	0	0	0	0	247	247,2002
31-R-0100	247	2001	0	91	0	0	0	0	0	0	0	0	247	247,2001
31-R-0100	247	2000	0	63	0	0	0	0	0	0	0	0	247	247,2000
31-R-0100	247	1999	0	54	0	0	0	0	0	0	0	0	247	247,1999
