CERT,CERT_ID_NUMBER,FISCAL_YEAR,DOG,CAT,GUINEA_PIGS,HAMSTERS,RABBITS,NHP,SHEEP,PIG,OTHERFARM,OTHERALL,CUST_ID_NUMBER,SELECT_ROW
10-R-0005,70,2015,36,0,0,395,61,0,0,29,0,0,70,"70,2015"
10-R-0005,70,2014,6,0,0,299,50,0,0,26,0,0,70,"70,2014"
10-R-0005,70,2013,35,0,0,246,38,0,0,56,0,0,70,"70,2013"
10-R-0005,70,2012,12,0,0,65,66,0,0,46,0,0,70,"70,2012"
10-R-0005,70,2011,9,0,0,204,45,0,0,74,0,0,70,"70,2011"
10-R-0005,70,2010,12,0,0,89,0,0,0,56,0,0,70,"70,2010"
10-R-0005,70,2009,18,0,0,140,5,0,0,64,0,0,70,"70,2009"
10-R-0005,70,2008,12,0,0,274,6,0,0,77,0,0,70,"70,2008"
10-R-0005,70,2007,40,0,0,459,29,0,0,48,0,82,70,"70,2007"
10-R-0005,70,2006,18,0,0,479,11,0,0,151,7,0,70,"70,2006"
10-R-0005,70,2005,7,0,0,303,58,0,0,173,7,0,70,"70,2005"
10-R-0005,70,2004,79,0,0,612,88,0,0,204,0,0,70,"70,2004"
10-R-0005,70,2003,86,0,27,723,223,0,0,176,0,0,70,"70,2003"
10-R-0005,70,2002,171,0,161,605,251,0,0,329,0,0,70,"70,2002"
10-R-0005,70,2001,112,0,61,281,164,0,0,255,0,0,70,"70,2001"
10-R-0005,70,2000,13,0,2,40,9,0,8,349,0,0,70,"70,2000"
10-R-0005,70,1999,5,0,0,64,94,0,17,265,10,0,70,"70,1999"
